Lake,Trip_Date,SampSite,UTMEasting,UTMNorthing,ReadDepth,Temp,DO
Acton,8/15/2016,,692905,4383301,0,28,5.98
Acton,8/15/2016,,692905,4383301,1,27.8,5.58
Acton,8/15/2016,,692905,4383301,2,27.4,4.3
Acton,8/15/2016,,693081,4383288,0,28.4,7.91
Acton,8/15/2016,,693081,4383288,1,27.6,4.44
Acton,8/15/2016,,693081,4383288,2,27.5,4.26
Acton,8/15/2016,,693307,4383313,0,28.4,8.78
Acton,8/15/2016,,693307,4383313,1,27.8,5.51
Acton,8/15/2016,,693307,4383313,2,27.6,4.4
Acton,8/15/2016,,693307,4383313,3,27.6,3.63
Acton,8/15/2016,,693225,4383032,0,28.2,5.9
Acton,8/15/2016,,693225,4383032,1,27.8,4.39
Acton,8/15/2016,,693225,4383032,2,27.7,3.94
Acton,8/15/2016,,693225,4383032,3,27.6,3.3
Acton,8/15/2016,,693049,4382812,0,28.3,6.5
Acton,8/15/2016,,693049,4382812,1,28.2,5.87
Acton,8/15/2016,,693049,4382812,2,28,5.64
Acton,8/15/2016,,693301,4382856,0,28.2,5.96
Acton,8/15/2016,,693301,4382856,1,28.2,5.61
Acton,8/15/2016,,693301,4382856,2,27.7,3.51
Acton,8/15/2016,,693301,4382856,3,27.7,3.34
Acton,8/15/2016,,693643,4382842,0,28.2,8.28
Acton,8/15/2016,,693643,4382842,1,27.8,4.12
Acton,8/15/2016,,693643,4382842,2,27.8,4.03
Acton,8/15/2016,,693643,4382842,3,27.7,2.62
Acton,8/15/2016,,693643,4382842,4,27.6,1.12
Acton,8/15/2016,,693545,4382549,0,28.1,6.37
Acton,8/15/2016,,693545,4382549,1,28,4.83
Acton,8/15/2016,,693545,4382549,2,27.8,3.97
Acton,8/15/2016,,693545,4382549,3,27.7,3.88
Acton,8/15/2016,,693545,4382549,4,27.6,3.89
Acton,8/15/2016,,693292,4382367,0,28.2,7.79
Acton,8/15/2016,,693292,4382367,1,28.2,7.36
Acton,8/15/2016,,693292,4382367,2,28.2,7.36
Acton,8/15/2016,,693558,4382378,0,28,6.8
Acton,8/15/2016,,693558,4382378,1,28,6.81
Acton,8/15/2016,,693558,4382378,2,28,6.52
Acton,8/15/2016,,693558,4382378,3,27.9,5.38
Acton,8/15/2016,,693558,4382378,4,27.8,4.52
Acton,8/15/2016,,694066,4382319,0,28,6.81
Acton,8/15/2016,,694066,4382319,1,28,5.74
Acton,8/15/2016,,694066,4382319,2,27.8,3.75
Acton,8/15/2016,,694066,4382319,3,27.8,3.24
Acton,8/15/2016,,694066,4382319,4,27.7,3.26
Acton,8/15/2016,,693870,4382064,0,27.8,6.57
Acton,8/15/2016,,693870,4382064,1,27.8,6.08
Acton,8/15/2016,,693870,4382064,2,27.8,5.52
Acton,8/15/2016,,693870,4382064,3,27.8,4.78
