Date, Interval, Layer, Sv_mean, ABC,Sigma,Density,wt/fish,Biomass, Height_mean, Depth_mean, Good_samples, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M,Time,Northing,Easting
8/15/2016,1,3,-41.007534,7.86E-05,7.57E-06,103822,1.3111,136.12,0.990739,2.499492,22935,2,3,10,426,203.640161,21:30:22,4380957.007,694501.4277
8/15/2016,1,4,-41.491112,7.16E-05,7.57E-06,94571,1.3111,123.99,1.008753,3.499238,23352,3,4,10,426,203.640161,21:30:22,4380957.007,694501.4277
8/15/2016,1,5,-46.425278,2.26E-05,7.57E-06,29821,1.3111,39.1,0.990739,4.498984,22935,4,5,10,426,203.640161,21:30:22,4380957.007,694501.4277
8/15/2016,1,6,-53.799346,4.21E-06,7.57E-06,5558,1.3111,7.29,1.008753,5.49873,23352,5,6,10,426,203.640161,21:30:22,4380957.007,694501.4277
8/15/2016,1,7,-53.243635,4.54E-06,7.57E-06,5999,1.3111,7.87,0.957952,6.483214,22176,6,7,10,426,203.640161,21:30:22,4380957.007,694501.4277
8/15/2016,1,8,-51.792647,8.83E-07,7.57E-06,1167,1.3111,1.53,0.133394,7.25518,3088,7,8,10,426,203.640161,21:30:22,4380957.007,694501.4277
8/15/2016,2,3,-41.365505,7.23E-05,7.57E-06,95608,1.3111,125.35,0.990739,2.499492,57695,2,3,427,1475,383.08969,21:32:08,4380916.075,694347.8918
8/15/2016,2,4,-42.295953,5.95E-05,7.57E-06,78573,1.3111,103.02,1.008753,3.499238,58744,3,4,427,1475,383.08969,21:32:08,4380916.075,694347.8918
8/15/2016,2,5,-47.201219,1.89E-05,7.57E-06,24941,1.3111,32.7,0.990739,4.498984,57695,4,5,427,1475,383.08969,21:32:08,4380916.075,694347.8918
8/15/2016,2,6,-54.844884,3.31E-06,7.57E-06,4369,1.3111,5.73,1.008753,5.49873,58744,5,6,427,1475,383.08969,21:32:08,4380916.075,694347.8918
8/15/2016,2,7,-53.441147,4.09E-06,7.57E-06,5408,1.3111,7.09,0.903849,6.457052,52635,6,7,427,1475,383.08969,21:32:08,4380916.075,694347.8918
8/15/2016,2,8,-54.155469,4.74E-08,7.57E-06,63,1.3111,0.08,0.01233,7.035115,718,7,8,427,1475,383.08969,21:32:08,4380916.075,694347.8918
8/15/2016,3,3,-40.677071,8.48E-05,7.57E-06,112031,1.3111,146.88,0.990739,2.499492,60885,2,3,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,3,4,-41.98629,6.38E-05,7.57E-06,84380,1.3111,110.63,1.008753,3.499238,61992,3,4,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,3,5,-48.015413,1.56E-05,7.57E-06,20678,1.3111,27.11,0.990739,4.498984,60885,4,5,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,3,6,-53.86628,4.14E-06,7.57E-06,5473,1.3111,7.18,1.008753,5.49873,61992,5,6,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,3,7,-53.98923,3.95E-06,7.57E-06,5225,1.3111,6.85,0.990739,6.498476,60885,6,7,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,3,8,-53.046515,2.80E-06,7.57E-06,3705,1.3111,4.86,0.565332,7.330402,34742,7,8,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,3,9,-53.478284,2.56E-08,7.57E-06,34,1.3111,0.04,0.005695,8.043977,350,8,9,1476,2582,624.1169,21:34:21,4381055.965,694535.0872
8/15/2016,4,3,-42.829702,5.16E-05,7.57E-06,68245,1.3111,89.48,0.990739,2.499492,62315,2,3,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,4,4,-43.063427,4.98E-05,7.57E-06,65846,1.3111,86.33,1.008753,3.499238,63448,3,4,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,4,5,-47.965359,1.58E-05,7.57E-06,20917,1.3111,27.42,0.990739,4.498984,62315,4,5,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,4,6,-54.111125,3.73E-06,7.57E-06,4935,1.3111,6.47,0.962232,5.484057,60522,5,6,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,4,7,-54.295653,2.89E-06,7.57E-06,3819,1.3111,5.01,0.776947,6.477325,48868,6,7,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,4,8,-53.359646,1.89E-06,7.57E-06,2504,1.3111,3.28,0.410684,7.394645,25831,7,8,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,4,9,-51.381369,7.69E-08,7.57E-06,102,1.3111,0.13,0.010573,8.041618,665,8,9,2583,3715,874.183683,21:36:45,4381075.412,694372.8991
8/15/2016,5,3,-42.410697,5.69E-05,7.57E-06,75158,1.3111,98.54,0.990739,2.499492,57090,2,3,3716,4753,1131.417178,21:39:11,4381190.113,694252.8897
8/15/2016,5,4,-42.776452,5.32E-05,7.57E-06,70344,1.3111,92.23,1.008753,3.499238,58128,3,4,3716,4753,1131.417178,21:39:11,4381190.113,694252.8897
