Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,231,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,55,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,47,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,49,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,43,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,64,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,49,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,46,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,50,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,47,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,49,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,51,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,47,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,50,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,47,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,51,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,62,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,50,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,71,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,54,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,66,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,68,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,62,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,60,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,46,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,48,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,71,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,65,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,65,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,38,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,72,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,51,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,48,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,41,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,45,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,45,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,42,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,47,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,51,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,50,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,63,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,68,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,58,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,61,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,59,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,50,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,45,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,46,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,59,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,20003,67,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,77001,65,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,77001,70,
Acton,8/15/2016,1,2202,2403,Z01,694342,4381142,77001,72,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,60,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,66,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,67,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,43,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,42,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,49,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,37,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,68,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,61,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,70,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,66,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,65,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,53,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,43,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,44,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,68,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,66,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,42,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,44,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,51,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,55,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,70,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,25,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,67,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,63,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,48,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,71,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,36,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,46,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,47,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,44,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,44,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,57,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,55,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,69,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,45,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,42,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,46,
Acton,8/15/2016,2,2148,2373,Z02,694190,4381793,20003,55,
