Transect,Easting,Northing
up,692622,4383237
up,692667,4383258
up,692712,4383279
up,692757,4383300
up,692802,4383321
up,692847,4383342
up,692892,4383363
up,692937,4383384
up,692982,4383405
up,693027,4383426
up,693072,4383447
up,693117,4383468
mid,693330,4382226
mid,693374,4382249.93
mid,693418,4382273.86
mid,693462,4382297.79
mid,693506,4382321.72
mid,693550,4382345.65
mid,693593,4382369.58
mid,693637,4382393.51
mid,693681,4382417.44
mid,693725,4382441.37
mid,693769,4382465.3
mid,693813,4382489.23
mid,693857,4382513.16
mid,693901,4382537.09
down,694184,4381150
down,694227,4381172
down,694270,4381194
down,694313,4381216
down,694356,4381238
down,694399,4381260
down,694442,4381282
down,694485,4381304
down,694528,4381326
down,694571,4381348
,,
,,
,,
,,
,,
,,
,,
,,
