Easting,Northing
692756,4383746
692784,4383705
692812,4383663
692840,4383622
692868,4383581
692896,4383539
692924,4383498
692953,4383457
692981,4383415
693009,4383374
693037,4383332
693065,4383291
693093,4383250
693121,4383208
693149,4383167
693177,4383126
693206,4383084
693234,4383043
693262,4383002
693290,4382960
693318,4382919
693346,4382878
693374,4382836
693402,4382795
693431,4382754
693459,4382712
693487,4382671
693515,4382630
693543,4382588
693571,4382547
693599,4382506
693627,4382464
693656,4382423
693684,4382382
693712,4382340
693740,4382299
693768,4382258
693796,4382216
693824,4382175
693852,4382134
693880,4382092
693909,4382051
693937,4382009
693965,4381968
693993,4381927
694021,4381885
694049,4381844
694077,4381803
694105,4381761
694134,4381720
694162,4381679
694190,4381637
694218,4381596
694246,4381555
694274,4381513
694302,4381472
694330,4381431
694358,4381389
694387,4381348
694415,4381307
694443,4381265
694471,4381224
694499,4381183
694527,4381141
694555,4381100
