Lake,Trip_Date,SampSite,UTMEasting,UTMNorthing,ReadDepth,Temp,DO
Burr Oak,5/4/2004,1,409194,4377279,0,17,8.1
Burr Oak,5/4/2004,1,409194,4377279,1,17.1,8.19
Burr Oak,5/4/2004,1,409194,4377279,2,17,8.24
Burr Oak,5/4/2004,1,409194,4377279,3,16.6,8.2
Burr Oak,5/4/2004,1,409194,4377279,4,16,8.13
Burr Oak,5/4/2004,1,409194,4377279,5,14.5,7.85
Burr Oak,5/4/2004,1,409194,4377279,6,11.5,7.21
Burr Oak,5/4/2004,1,409194,4377279,7,9.8,5.37
Burr Oak,5/4/2004,1,409194,4377279,8,9.3,4.48
Burr Oak,6/9/2004,dam,409194,4377279,0,29.1,10.4
Burr Oak,6/9/2004,dam,409194,4377279,1,28.4,10.8
Burr Oak,6/9/2004,dam,409194,4377279,2,23.6,11.5
Burr Oak,6/9/2004,dam,409194,4377279,3,21.9,7.6
Burr Oak,6/9/2004,dam,409194,4377279,4,20.4,3.1
Burr Oak,6/9/2004,dam,409194,4377279,5,19.1,1.3
Burr Oak,6/9/2004,dam,409194,4377279,6,17.8,1.5
Burr Oak,6/9/2004,dam,409194,4377279,7,16.9,1.2
Burr Oak,6/9/2004,dam,409194,4377279,8,16.1,1.1
Burr Oak,6/9/2004,dam,409194,4377279,9,14,1.1
Burr Oak,6/9/2004,dam,409194,4377279,10,13.5,1
Burr Oak,6/9/2004,dam,409194,4377279,11,13.6,1
Burr Oak,6/9/2004,upper,411309,4376865,0,27.9,11.3
Burr Oak,6/9/2004,upper,411309,4376865,1,27.9,11.4
Burr Oak,6/9/2004,upper,411309,4376865,2,25.6,11.3
Burr Oak,6/9/2004,upper,411309,4376865,3,21.9,4.3
Burr Oak,6/9/2004,upper,411309,4376865,4,21.2,1.1
Burr Oak,6/9/2004,upper,411309,4376865,5,21.1,1.1
Burr Oak,8/17/2004,1,409236,4377303,0,26.4,7.52
Burr Oak,8/17/2004,1,409236,4377303,1,25.4,7.52
Burr Oak,8/17/2004,1,409236,4377303,2,24.4,7.58
Burr Oak,8/17/2004,1,409236,4377303,3,23.6,6.24
Burr Oak,8/17/2004,1,409236,4377303,4,23.5,6.11
Burr Oak,8/17/2004,1,409236,4377303,5,23.2,1.51
Burr Oak,8/17/2004,1,409236,4377303,6,20.7,0.93
Burr Oak,8/17/2004,1,409236,4377303,7,18.7,0.87
Burr Oak,8/17/2004,1,409236,4377303,8,17.2,0.81
Burr Oak,8/17/2004,1,409236,4377303,9,16.1,0.78
Burr Oak,8/17/2004,1,409236,4377303,10,15.1,0.77
Burr Oak,8/31/2004,lower,409236,4377303,0,26.9,9.81
Burr Oak,8/31/2004,lower,409236,4377303,1,26.6,9.89
Burr Oak,8/31/2004,lower,409236,4377303,2,25.4,10.13
Burr Oak,8/31/2004,lower,409236,4377303,3,25.1,9.57
Burr Oak,8/31/2004,lower,409236,4377303,4,24.3,4.1
Burr Oak,8/31/2004,lower,409236,4377303,5,22.1,1.54
