Date, Interval, Layer, Sv_mean, ABC,Sigma,Density,wt/fish,Biomass, Height_mean, Depth_mean, Good_samples, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M,Time,Northing,Easting
8/7/2014,1,3,-66.2334,2.36E-07,3.17E-05,74,10.6194,0.79,0.990739,2.499492,71060,2,3,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,1,4,-58.4126,1.45E-06,3.17E-05,459,10.6194,4.87,1.008753,3.499238,72352,3,4,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,1,5,-51.4907,7.03E-06,3.17E-05,2217,10.6194,23.55,0.990739,4.498984,71060,4,5,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,1,6,-49.8797,1.04E-05,3.17E-05,3272,10.6194,34.74,1.008753,5.49873,72352,5,6,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,1,7,-54.8375,3.25E-06,3.17E-05,1026,10.6194,10.9,0.990739,6.498476,71060,6,7,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,1,8,-61.7331,6.62E-07,3.17E-05,209,10.6194,2.22,0.986403,7.489417,70749,7,8,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,1,9,-67.9756,2.33E-08,3.17E-05,7,10.6194,0.08,0.14645,8.160097,10504,8,9,1,1292,124.5261,21:10:23,4377479,409221
8/7/2014,2,3,-52.6065,5.44E-06,3.17E-05,1715,10.6194,18.21,0.990739,2.499492,67265,2,3,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,4,-46.7338,2.14E-05,3.17E-05,6751,10.6194,71.69,1.008753,3.499238,68488,3,4,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,5,-50.7212,8.39E-06,3.17E-05,2647,10.6194,28.11,0.990739,4.498984,67265,4,5,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,6,-50.6432,8.70E-06,3.17E-05,2744,10.6194,29.14,1.008753,5.49873,68488,5,6,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,7,-55.2791,2.94E-06,3.17E-05,927,10.6194,9.84,0.990739,6.498476,67265,6,7,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,8,-59.6756,1.03E-06,3.17E-05,326,10.6194,3.46,0.958881,7.484623,65102,7,8,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,9,-65.7636,7.95E-08,3.17E-05,25,10.6194,0.27,0.299866,8.336827,20359,8,9,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,10,-73.485,4.32E-09,3.17E-05,1,10.6194,0.01,0.096474,9.449657,6550,9,10,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,2,11,-69.9647,1.22E-09,3.17E-05,0,10.6194,0,0.012107,10.11328,822,10,11,1293,2515,366.2285,21:12:33,4377258,409315
8/7/2014,3,3,-61.995,6.26E-07,3.17E-05,197,10.6194,2.1,0.990739,2.499492,74305,2,3,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,4,-52.1986,6.08E-06,3.17E-05,1918,10.6194,20.37,1.008753,3.499238,75656,3,4,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,5,-49.9596,1.00E-05,3.17E-05,3155,10.6194,33.5,0.990739,4.498984,74305,4,5,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,6,-52.3962,5.81E-06,3.17E-05,1833,10.6194,19.46,1.008753,5.49873,75656,5,6,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,7,-57.3666,1.82E-06,3.17E-05,573,10.6194,6.09,0.990739,6.498476,74305,6,7,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,8,-61.3027,6.86E-07,3.17E-05,216,10.6194,2.3,0.925965,7.459063,69447,7,8,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,9,-72.6425,8.66E-09,3.17E-05,3,10.6194,0.03,0.159068,8.458238,11930,8,9,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,10,-71.2468,7.61E-09,3.17E-05,2,10.6194,0.03,0.101467,9.422684,7610,9,10,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,3,11,-74.3788,5.01E-10,3.17E-05,0,10.6194,0,0.01372,10.12865,1029,10,11,2516,3866,628.8979,21:15:01,4377030,409214
8/7/2014,4,3,-53.7766,4.15E-06,3.17E-05,1310,10.6194,13.91,0.990739,2.499492,63690,2,3,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,4,-48.8879,1.30E-05,3.17E-05,4111,10.6194,43.65,1.008753,3.499238,64848,3,4,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,5,-48.5837,1.37E-05,3.17E-05,4330,10.6194,45.99,0.990739,4.498984,63690,4,5,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,6,-53.529,4.48E-06,3.17E-05,1412,10.6194,14.99,1.008753,5.49873,64848,5,6,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,7,-59.6422,1.08E-06,3.17E-05,339,10.6194,3.6,0.990739,6.498476,63690,6,7,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,8,-62.3923,4.55E-07,3.17E-05,144,10.6194,1.53,0.790009,7.43186,50786,7,8,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,9,-71.3627,1.94E-08,3.17E-05,6,10.6194,0.07,0.266079,8.362139,17105,8,9,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,10,-75.2731,1.47E-09,3.17E-05,0,10.6194,0,0.049654,9.363617,3192,9,10,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,4,11,-999,0,3.17E-05,0,10.6194,0,0.000047,10.0111,3,10,11,3867,5024,867.4416,21:17:10,4376824,409104
8/7/2014,5,3,-58.2915,1.47E-06,3.17E-05,463,10.6194,4.92,0.990739,2.499492,70950,2,3,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,4,-51.2108,7.63E-06,3.17E-05,2408,10.6194,25.57,1.008753,3.499238,72240,3,4,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,5,-50.5161,8.80E-06,3.17E-05,2775,10.6194,29.47,0.990739,4.498984,70950,4,5,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,6,-55.266,3.00E-06,3.17E-05,947,10.6194,10.05,1.008753,5.49873,72240,5,6,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,7,-61.1317,7.63E-07,3.17E-05,241,10.6194,2.56,0.990739,6.498476,70950,6,7,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,8,-63.9943,3.03E-07,3.17E-05,95,10.6194,1.01,0.75919,7.397235,54368,7,8,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,9,-69.7618,2.54E-08,3.17E-05,8,10.6194,0.09,0.240333,8.469905,17211,8,9,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,5,10,-74.6521,3.65E-09,3.17E-05,1,10.6194,0.01,0.106517,9.351315,7628,9,10,5025,6314,1123.518,21:19:31,4376735,409265
8/7/2014,6,3,-54.44,3.56E-06,3.17E-05,1124,10.6194,11.94,0.990739,2.499492,64680,2,3,6315,7490,1359.969,21:21:38,4376702,409494
8/7/2014,6,4,-49.288,1.19E-05,3.17E-05,3749,10.6194,39.81,1.008753,3.499238,65856,3,4,6315,7490,1359.969,21:21:38,4376702,409494
8/7/2014,6,5,-50.8825,8.09E-06,3.17E-05,2551,10.6194,27.09,0.990739,4.498984,64680,4,5,6315,7490,1359.969,21:21:38,4376702,409494
8/7/2014,6,6,-56.487,2.27E-06,3.17E-05,715,10.6194,7.59,1.008753,5.49873,65856,5,6,6315,7490,1359.969,21:21:38,4376702,409494
8/7/2014,6,7,-61.8274,6.07E-07,3.17E-05,191,10.6194,2.03,0.92423,6.469246,60338,6,7,6315,7490,1359.969,21:21:38,4376702,409494
8/7/2014,6,8,-58.062,2.71E-07,3.17E-05,86,10.6194,0.91,0.173563,7.161246,11331,7,8,6315,7490,1359.969,21:21:38,4376702,409494
8/7/2014,7,3,-53.4762,4.45E-06,3.17E-05,1404,10.6194,14.91,0.990739,2.499492,72985,2,3,7491,8817,1621.85,21:24:03,4376541,409543
8/7/2014,7,4,-49.1125,1.24E-05,3.17E-05,3904,10.6194,41.46,1.008753,3.499238,74312,3,4,7491,8817,1621.85,21:24:03,4376541,409543
8/7/2014,7,5,-53.1791,4.76E-06,3.17E-05,1503,10.6194,15.96,0.990739,4.498984,72985,4,5,7491,8817,1621.85,21:24:03,4376541,409543
8/7/2014,7,6,-57.7894,1.68E-06,3.17E-05,529,10.6194,5.62,1.008753,5.49873,74312,5,6,7491,8817,1621.85,21:24:03,4376541,409543
8/7/2014,7,7,-61.6184,6.83E-07,3.17E-05,215,10.6194,2.29,0.990739,6.498476,72985,6,7,7491,8817,1621.85,21:24:03,4376541,409543
8/7/2014,7,8,-65.4149,6.70E-08,3.17E-05,21,10.6194,0.22,0.233116,7.125924,17173,7,8,7491,8817,1621.85,21:24:03,4376541,409543
8/7/2014,8,3,-52.8536,5.14E-06,3.17E-05,1620,10.6194,17.2,0.990739,2.499492,72380,2,3,8818,10133,1874.511,21:26:19,4376316,409436
8/7/2014,8,4,-48.3475,1.48E-05,3.17E-05,4656,10.6194,49.44,1.008753,3.499238,73696,3,4,8818,10133,1874.511,21:26:19,4376316,409436
8/7/2014,8,5,-54.5284,3.49E-06,3.17E-05,1102,10.6194,11.7,0.990739,4.498984,72380,4,5,8818,10133,1874.511,21:26:19,4376316,409436
8/7/2014,8,6,-62.7293,5.38E-07,3.17E-05,170,10.6194,1.8,1.008753,5.49873,73696,5,6,8818,10133,1874.511,21:26:19,4376316,409436
8/7/2014,8,7,-65.9128,2.23E-07,3.17E-05,70,10.6194,0.75,0.871489,6.463767,63668,6,7,8818,10133,1874.511,21:26:19,4376316,409436
8/7/2014,8,8,-69.2689,2.37E-08,3.17E-05,7,10.6194,0.08,0.199982,7.153201,14610,7,8,8818,10133,1874.511,21:26:19,4376316,409436
8/7/2014,9,3,-54.5245,3.50E-06,3.17E-05,1103,10.6194,11.71,0.990739,2.499492,69025,2,3,10134,11388,2136.056,21:28:42,4376104,409424
8/7/2014,9,4,-50.2769,9.46E-06,3.17E-05,2986,10.6194,31.71,1.008753,3.499238,70280,3,4,10134,11388,2136.056,21:28:42,4376104,409424
8/7/2014,9,5,-54.7058,3.35E-06,3.17E-05,1058,10.6194,11.23,0.990739,4.498984,69025,4,5,10134,11388,2136.056,21:28:42,4376104,409424
8/7/2014,9,6,-61.0023,8.01E-07,3.17E-05,253,10.6194,2.68,1.008753,5.49873,70280,5,6,10134,11388,2136.056,21:28:42,4376104,409424
8/7/2014,9,7,-66.8798,1.50E-07,3.17E-05,47,10.6194,0.5,0.729408,6.405612,50818,6,7,10134,11388,2136.056,21:28:42,4376104,409424
