Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,77009,122,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,77009,127,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,165,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,148,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,102,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,92,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,77,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,68,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,66,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,147,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,63,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,139,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,140,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,133,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,149,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,150,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,164,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,152,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,139,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,147,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,153,
Burr Oak,8/11/2014,1,2050,2629,Up1,409354,4377578,20003,154,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,70001,100,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,70001,67,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,70001,71,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,77009,128,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,77009,123,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,77009,117,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,77002,125,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,155,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,149,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,159,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,148,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,163,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,162,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,139,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,145,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,153,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,147,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,138,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,93,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,108,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,98,
Burr Oak,8/11/2014,2,2102,2717,Up2,409206,4376423,20003,85,
