Transect,Easting,Northing
up,411343,4376893
up,411377,4376929
up,411412,4376966
up,411446,4377002
up,411480,4377038
up,411515,4377075
mid,410002,4375862
mid,410042,4375831
mid,410081,4375801
mid,410121,4375770
mid,410160,4375740
mid,410200,4375709
mid,410239,4375678
mid,410279,4375648
mid,410318,4375617
mid,410358,4375587
mid,410398,4375556
down,409214,4377347
down,409264,4377396
down,409314,4377396
down,409364,4377396
down,409414,4377396
down,409464,4377396
down,409514,4377396
down,409564,4377396
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
