Lake,Trip_Date,SampSite,UTMEasting,UTMNorthing,ReadDepth,Temp,DO
Pleasant Hill,5/13/2003,1,387942,4497849,0,17.1,7.3
Pleasant Hill,5/13/2003,1,387942,4497849,1,16.5,7
Pleasant Hill,5/13/2003,1,387942,4497849,2,16.2,6.65
Pleasant Hill,5/13/2003,1,387942,4497849,3,16.2,6.55
Pleasant Hill,5/13/2003,1,387942,4497849,4,16.2,6.58
Pleasant Hill,5/13/2003,1,387942,4497849,5,16.2,6.55
Pleasant Hill,5/13/2003,1,387942,4497849,6,16.1,6.56
Pleasant Hill,5/13/2003,1,387942,4497849,7,16.1,6.45
Pleasant Hill,5/13/2003,1,387942,4497849,8,16.1,6.36
Pleasant Hill,5/14/2003,B,386957,4499569,0,18.1,8.81
Pleasant Hill,5/14/2003,B,386957,4499569,1,17.4,8.72
Pleasant Hill,5/14/2003,B,386957,4499569,2,16.5,8.42
Pleasant Hill,5/14/2003,B,386957,4499569,3,15.3,7.52
Pleasant Hill,5/14/2003,B,386957,4499569,4,15.2,7.49
Pleasant Hill,5/14/2003,B,386957,4499569,5,15.1,7.44
Pleasant Hill,5/14/2003,B,386957,4499569,6,15,7.54
Pleasant Hill,5/14/2003,B,386957,4499569,7,14.8,7.13
Pleasant Hill,5/14/2003,B,386957,4499569,8,14.2,6.27
Pleasant Hill,5/14/2003,C,387861,4498625,0,18.8,9.36
Pleasant Hill,5/14/2003,C,387861,4498625,1,18.5,9.23
Pleasant Hill,5/14/2003,C,387861,4498625,2,16.1,8.28
Pleasant Hill,5/14/2003,C,387861,4498625,3,15.6,7.23
Pleasant Hill,5/14/2003,C,387861,4498625,4,15.5,7.37
Pleasant Hill,5/14/2003,C,387861,4498625,5,15.4,6.73
Pleasant Hill,5/14/2003,C,387861,4498625,6,15.2,7.18
Pleasant Hill,5/14/2003,C,387861,4498625,7,15,7.15
Pleasant Hill,5/6/2004,1,387910,4497887,0,14.8,13.85
Pleasant Hill,5/6/2004,1,387910,4497887,1,14.5,13.88
Pleasant Hill,5/6/2004,1,387910,4497887,2,13.4,13.25
Pleasant Hill,5/6/2004,1,387910,4497887,3,13.3,13.22
Pleasant Hill,5/6/2004,1,387910,4497887,4,13.1,12.72
Pleasant Hill,5/6/2004,1,387910,4497887,5,13,12.69
Pleasant Hill,5/6/2004,1,387910,4497887,6,12.9,12.46
Pleasant Hill,5/6/2004,1,387910,4497887,7,12.8,12.09
Pleasant Hill,5/6/2004,1,387910,4497887,8,12.7,11.85
