Date, Interval, Layer, Sv_mean, ABC,Sigma,Density,wt/fish,Biomass, Height_mean, Depth_mean, Good_samples, Layer_depth_min, Layer_depth_max, Ping_S, Ping_E, Dist_M,Time,Northing,Easting
8/18/2016,1,3,-52.256287,5.89E-06,6.48E-06,9095,1.0454,9.51,0.990739,2.499492,52305,2,3,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,4,-50.654122,8.68E-06,6.48E-06,13393,1.0454,14,1.008753,3.499238,53256,3,4,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,5,-49.702486,1.06E-05,6.48E-06,16376,1.0454,17.12,0.990739,4.498984,52305,4,5,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,6,-56.665193,2.17E-06,6.48E-06,3356,1.0454,3.51,1.008753,5.49873,53256,5,6,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,7,-63.225023,3.95E-07,6.48E-06,609,1.0454,0.64,0.829168,6.454712,43775,6,7,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,8,-61.948454,3.29E-07,6.48E-06,507,1.0454,0.53,0.514927,7.4729,27185,7,8,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,9,-61.673673,1.99E-07,6.48E-06,308,1.0454,0.32,0.293235,8.376287,15481,8,9,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,10,-60.731617,8.16E-08,6.48E-06,126,1.0454,0.13,0.096621,9.457083,5101,9,10,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,11,-66.229476,1.10E-08,6.48E-06,17,1.0454,0.02,0.046199,10.441513,2439,10,11,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,1,12,-68.34507,7.87E-10,6.48E-06,1,1.0454,0,0.005379,11.116259,284,11,12,0,950,129.052996,21:22:33,4497696.263,387905.5906
8/18/2016,2,3,-50.688008,8.46E-06,6.48E-06,13051,1.0454,13.64,0.990739,2.499492,55275,2,3,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,4,-50.758515,8.47E-06,6.48E-06,13075,1.0454,13.67,1.008753,3.499238,56280,3,4,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,5,-51.66629,6.75E-06,6.48E-06,10419,1.0454,10.89,0.990739,4.498984,55275,4,5,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,6,-55.181952,2.84E-06,6.48E-06,4377,1.0454,4.58,0.935193,5.473019,52176,5,6,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,7,-61.446871,4.35E-07,6.48E-06,672,1.0454,0.7,0.607331,6.469685,33884,6,7,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,8,-61.841992,2.85E-07,6.48E-06,439,1.0454,0.46,0.434868,7.466905,24262,7,8,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,9,-61.997638,1.86E-07,6.48E-06,288,1.0454,0.3,0.295152,8.464599,16467,8,9,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,10,-61.827547,1.36E-07,6.48E-06,209,1.0454,0.22,0.206733,9.473776,11534,9,10,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,11,-60.430093,1.40E-07,6.48E-06,217,1.0454,0.23,0.154916,10.47772,8643,10,11,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,12,-63.732385,5.04E-08,6.48E-06,78,1.0454,0.08,0.119086,11.460913,6644,11,12,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,2,13,-63.426232,7.62E-09,6.48E-06,12,1.0454,0.01,0.016777,12.109585,936,12,13,951,1955,376.357582,21:24:39,4497934.332,387970.5595
8/18/2016,3,3,-51.594341,6.86E-06,6.48E-06,10593,1.0454,11.07,0.990739,2.499492,56375,2,3,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,4,-52.316163,5.92E-06,6.48E-06,9134,1.0454,9.55,1.008753,3.499238,57400,3,4,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,5,-52.309876,5.82E-06,6.48E-06,8984,1.0454,9.39,0.990739,4.498984,56375,4,5,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,6,-54.836473,3.31E-06,6.48E-06,5112,1.0454,5.34,1.008753,5.49873,57400,5,6,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,7,-60.204102,9.45E-07,6.48E-06,1459,1.0454,1.53,0.990739,6.498476,56375,6,7,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,8,-61.362374,7.37E-07,6.48E-06,1138,1.0454,1.19,1.008753,7.498221,57400,7,8,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,9,-61.38741,7.20E-07,6.48E-06,1111,1.0454,1.16,0.990739,8.497967,56375,8,9,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,10,-59.829461,1.03E-06,6.48E-06,1583,1.0454,1.66,0.986381,9.490669,56127,9,10,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,11,-60.15551,6.84E-07,6.48E-06,1056,1.0454,1.1,0.708974,10.436652,40342,10,11,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,12,-62.981155,6.52E-08,6.48E-06,101,1.0454,0.11,0.129521,11.362341,7370,11,12,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,3,13,-999,0,6.48E-06,0,1.0454,0,0.000158,12.016593,9,12,13,1956,2980,625.400118,21:26:49,4498173.709,388033.3634
8/18/2016,4,3,-49.393549,1.14E-05,6.48E-06,17583,1.0454,18.38,0.990739,2.499492,48895,2,3,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,4,-49.413443,1.15E-05,6.48E-06,17821,1.0454,18.63,1.008753,3.499238,49784,3,4,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,5,-50.817466,8.21E-06,6.48E-06,12668,1.0454,13.24,0.990739,4.498984,48895,4,5,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,6,-55.287595,2.99E-06,6.48E-06,4608,1.0454,4.82,1.008753,5.49873,49784,5,6,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,7,-58.386849,1.44E-06,6.48E-06,2217,1.0454,2.32,0.990739,6.498476,48895,6,7,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,8,-60.416115,9.17E-07,6.48E-06,1415,1.0454,1.48,1.008753,7.498221,49784,7,8,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,9,-60.336582,8.82E-07,6.48E-06,1362,1.0454,1.42,0.953375,8.492405,47051,8,9,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,10,-60.975898,7.27E-07,6.48E-06,1122,1.0454,1.17,0.910398,9.492958,44930,9,10,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,11,-60.141797,4.33E-07,6.48E-06,669,1.0454,0.7,0.447601,10.356007,22090,10,11,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,4,12,-58.07369,1.20E-07,6.48E-06,186,1.0454,0.19,0.077282,11.262492,3814,11,12,2981,3869,877.048552,21:29:05,4498336.947,387941.6845
8/18/2016,5,3,-48.245688,1.48E-05,6.48E-06,22903,1.0454,23.94,0.990739,2.499492,54945,2,3,3870,4868,1124.498889,21:31:15,4498520.086,387902.2929
