Lake,Trip_Date,SampNo,STime,Effort,SampSite,UTMEasting,UTMNorthing,Species,Length,Weight
Pleasant Hill,8/6/2014,1,2040,1946,Low1,387965,4497881,20003,41,
Pleasant Hill,8/6/2014,1,2040,1946,Low1,387965,4497881,20003,34,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,47,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,48,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,44,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,44,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,51,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,55,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,47,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,55,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,41,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,54,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,49,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,37,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,51,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,50,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,42,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,53,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,44,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,51,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,55,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,70,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,52,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,57,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,47,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,40,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,59,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,38,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,45,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,52,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,37,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,48,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,48,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,47,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,44,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,52,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,49,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,45,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,48,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,45,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,46,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,44,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,42,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,48,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,20003,37,
Pleasant Hill,8/6/2014,2,2054,2150,Low2,387961,4498615,74001,97,10.1
Pleasant Hill,8/6/2014,3,2107,2136,Mid1,387706,4499485,20003,37,
Pleasant Hill,8/6/2014,3,2107,2136,Mid1,387706,4499485,20003,34,
