Easting,Northing
385062,4499710
385112,4499709
385162,4499709
385212,4499708
385262,4499707
385312,4499706
385362,4499706
385412,4499705
385462,4499704
385512,4499704
385562,4499703
385612,4499702
385662,4499701
385712,4499701
385762,4499700
385812,4499699
385862,4499698
385912,4499698
385962,4499697
386012,4499696
386062,4499696
386112,4499695
386162,4499694
386212,4499693
386262,4499693
386312,4499692
386362,4499691
386412,4499691
386459,4499708
386506,4499725
386553,4499742
386600,4499759
386647,4499776
386694,4499793
386741,4499810
386788,4499827
386835,4499844
386882,4499861
386929,4499878
386976,4499896
387023,4499913
387070,4499930
387117,4499947
387164,4499964
387211,4499981
387258,4499998
387305,4500015
387352,4500032
387385,4499995
387418,4499957
387451,4499920
387484,4499883
387518,4499845
387551,4499808
387584,4499771
387617,4499733
387651,4499696
387684,4499658
387717,4499621
387750,4499584
387783,4499546
387791,4499497
387798,4499447
387806,4499398
387813,4499349
387821,4499299
387828,4499250
387836,4499200
387843,4499151
387851,4499101
387858,4499052
387866,4499003
387873,4498953
387881,4498904
387890,4498855
387900,4498806
387910,4498757
387920,4498708
387930,4498658
387939,4498609
387949,4498560
387959,4498511
387969,4498462
387979,4498413
387989,4498364
387986,4498314
387984,4498264
387982,4498214
387979,4498165
387977,4498115
387975,4498065
387973,4498015
387970,4497965
387968,4497915
387966,4497865
387964,4497815
