Reservoir,Scenario,GRP
ACL,Hypoxia,0.029914114
ACL,Hypoxia,0.029949996
ACL,Hypoxia,0.029986147
ACL,Hypoxia,0.029979219
ACL,Hypoxia,0.02997239
ACL,Hypoxia,0.029965723
ACL,Hypoxia,0.029959256
ACL,Hypoxia,0.029953016
ACL,Hypoxia,0.029930484
ACL,Hypoxia,0.030028229
ACL,Hypoxia,0.030021716
ACL,Hypoxia,0.030014548
ACL,Hypoxia,0.03000699
ACL,Hypoxia,0.029999254
ACL,Hypoxia,0.029991507
ACL,Hypoxia,0.029983868
ACL,Hypoxia,0.02997642
ACL,Hypoxia,0.029969215
ACL,Hypoxia,0.030044827
ACL,Hypoxia,0.030038025
ACL,Hypoxia,0.030030276
ACL,Hypoxia,0.030021963
ACL,Hypoxia,0.030013376
ACL,Hypoxia,0.030004732
ACL,Hypoxia,0.029996194
ACL,Hypoxia,0.029987875
ACL,Hypoxia,0.029979847
ACL,Hypoxia,0.029951123
ACL,Hypoxia,0.030061999
ACL,Hypoxia,0.030055145
ACL,Hypoxia,0.030046832
ACL,Hypoxia,0.030037725
ACL,Hypoxia,0.030028267
ACL,Hypoxia,0.030018706
ACL,Hypoxia,0.030009225
ACL,Hypoxia,0.029999972
ACL,Hypoxia,0.029991052
ACL,Hypoxia,0.029982522
ACL,Hypoxia,0.029959387
ACL,Hypoxia,0.029945906
ACL,Hypoxia,0.030078973
ACL,Hypoxia,0.030072737
ACL,Hypoxia,0.030063937
ACL,Hypoxia,0.030053763
ACL,Hypoxia,0.030043298
ACL,Hypoxia,0.030032892
ACL,Hypoxia,0.030022562
ACL,Hypoxia,0.030012411
ACL,Hypoxia,0.030002592
ACL,Hypoxia,0.029993207
ACL,Hypoxia,0.029984298
ACL,Hypoxia,0.029975867
ACL,Hypoxia,0.030094078
ACL,Hypoxia,0.030089993
ACL,Hypoxia,0.030081751
ACL,Hypoxia,0.030070179
ACL,Hypoxia,0.030057687
ACL,Hypoxia,0.030046158
ACL,Hypoxia,0.030035305
ACL,Hypoxia,0.030024552
ACL,Hypoxia,0.030013982
ACL,Hypoxia,0.030003817
ACL,Hypoxia,0.029994165
ACL,Hypoxia,0.029985047
ACL,Hypoxia,0.029976446
ACL,Hypoxia,0.029968332
ACL,Hypoxia,0.030104598
ACL,Hypoxia,0.030104578
ACL,Hypoxia,0.03009947
ACL,Hypoxia,0.030088549
ACL,Hypoxia,0.03007332
