Reservoir,Scenario,GRP
ACL,Hypoxia,0.00888398
ACL,Hypoxia,0.008903897
ACL,Hypoxia,0.008932718
ACL,Hypoxia,0.00892643
ACL,Hypoxia,0.008920319
ACL,Hypoxia,0.008914488
ACL,Hypoxia,0.008908987
ACL,Hypoxia,0.00890383
ACL,Hypoxia,0.008886381
ACL,Hypoxia,0.008964756
ACL,Hypoxia,0.008960746
ACL,Hypoxia,0.008955155
ACL,Hypoxia,0.008948536
ACL,Hypoxia,0.0089414
ACL,Hypoxia,0.00893416
ACL,Hypoxia,0.008927105
ACL,Hypoxia,0.008920409
ACL,Hypoxia,0.008914153
ACL,Hypoxia,0.008973589
ACL,Hypoxia,0.008970885
ACL,Hypoxia,0.008965732
ACL,Hypoxia,0.008958813
ACL,Hypoxia,0.008950849
ACL,Hypoxia,0.008942498
ACL,Hypoxia,0.008934269
ACL,Hypoxia,0.00892648
ACL,Hypoxia,0.008919282
ACL,Hypoxia,0.008896358
ACL,Hypoxia,0.00897933
ACL,Hypoxia,0.008979366
ACL,Hypoxia,0.008975826
ACL,Hypoxia,0.008969419
ACL,Hypoxia,0.008961003
ACL,Hypoxia,0.008951512
ACL,Hypoxia,0.008941839
ACL,Hypoxia,0.008932628
ACL,Hypoxia,0.008924209
ACL,Hypoxia,0.008916669
ACL,Hypoxia,0.008898643
ACL,Hypoxia,0.008889419
ACL,Hypoxia,0.008978409
ACL,Hypoxia,0.008983142
ACL,Hypoxia,0.008983268
ACL,Hypoxia,0.00897909
ACL,Hypoxia,0.008971453
ACL,Hypoxia,0.008961312
ACL,Hypoxia,0.008949991
ACL,Hypoxia,0.008938854
ACL,Hypoxia,0.00892874
ACL,Hypoxia,0.00891991
ACL,Hypoxia,0.0089123
ACL,Hypoxia,0.008905728
ACL,Hypoxia,0.008966424
ACL,Hypoxia,0.008976782
ACL,Hypoxia,0.008983483
ACL,Hypoxia,0.008985012
ACL,Hypoxia,0.00898105
ACL,Hypoxia,0.008972197
ACL,Hypoxia,0.008959521
ACL,Hypoxia,0.008945594
ACL,Hypoxia,0.008932792
ACL,Hypoxia,0.008922015
ACL,Hypoxia,0.008913191
ACL,Hypoxia,0.008905937
ACL,Hypoxia,0.008899868
ACL,Hypoxia,0.008894675
ACL,Hypoxia,0.00894188
ACL,Hypoxia,0.008954879
ACL,Hypoxia,0.008967309
ACL,Hypoxia,0.008978653
ACL,Hypoxia,0.008985942
ACL,Hypoxia,0.008984813
ACL,Hypoxia,0.008973362
ACL,Hypoxia,0.008955017
ACL,Hypoxia,0.008936901
ACL,Hypoxia,0.008922511
ACL,Hypoxia,0.008911781
ACL,Hypoxia,0.008903714
ACL,Hypoxia,0.008897435
ACL,Hypoxia,0.008892339
ACL,Hypoxia,0.008888038
ACL,Hypoxia,0.008869167
ACL,Hypoxia,0.008892209
ACL,Hypoxia,0.008907885
ACL,Hypoxia,0.008919396
ACL,Hypoxia,0.008930902
ACL,Hypoxia,0.008944396
ACL,Hypoxia,0.003516394
ACL,Hypoxia,0.008962378
ACL,Hypoxia,0.003586098
ACL,Hypoxia,0.008984046
ACL,Hypoxia,0.008992372
ACL,Hypoxia,0.008972443
ACL,Hypoxia,0.008942795
ACL,Hypoxia,0.008920528
ACL,Hypoxia,0.008906454
ACL,Hypoxia,0.008897478
ACL,Hypoxia,0.008891353
ACL,Hypoxia,0.008886831
ACL,Hypoxia,0.008883235
ACL,Hypoxia,0.008880185
