Reservoir,Scenario,GRP
ACL,Hypoxia,0.022839501
ACL,Hypoxia,0.023036553
ACL,Hypoxia,0.023212185
ACL,Hypoxia,0.023182449
ACL,Hypoxia,0.023151323
ACL,Hypoxia,0.023119963
ACL,Hypoxia,0.023089106
ACL,Hypoxia,0.023059198
ACL,Hypoxia,0.02295226
ACL,Hypoxia,0.023347737
ACL,Hypoxia,0.023356519
ACL,Hypoxia,0.023348143
ACL,Hypoxia,0.023326618
ACL,Hypoxia,0.023296317
ACL,Hypoxia,0.023261039
ACL,Hypoxia,0.02322361
ACL,Hypoxia,0.023185902
ACL,Hypoxia,0.023149042
ACL,Hypoxia,0.023412995
ACL,Hypoxia,0.023443629
ACL,Hypoxia,0.023448031
ACL,Hypoxia,0.023430362
ACL,Hypoxia,0.023397188
ACL,Hypoxia,0.023355107
ACL,Hypoxia,0.023309245
ACL,Hypoxia,0.023262928
ACL,Hypoxia,0.023218023
ACL,Hypoxia,0.023063496
ACL,Hypoxia,0.023450939
ACL,Hypoxia,0.023520246
ACL,Hypoxia,0.023553698
ACL,Hypoxia,0.023550911
ACL,Hypoxia,0.023519259
ACL,Hypoxia,0.023469839
ACL,Hypoxia,0.023412635
ACL,Hypoxia,0.023354266
ACL,Hypoxia,0.023298213
ACL,Hypoxia,0.023245921
ACL,Hypoxia,0.023113012
ACL,Hypoxia,0.023041385
ACL,Hypoxia,0.023429792
ACL,Hypoxia,0.023553313
ACL,Hypoxia,0.023641232
ACL,Hypoxia,0.023678916
ACL,Hypoxia,0.023664584
ACL,Hypoxia,0.023611868
ACL,Hypoxia,0.023540212
ACL,Hypoxia,0.023464495
ACL,Hypoxia,0.023392394
ACL,Hypoxia,0.023326625
ACL,Hypoxia,0.023267513
ACL,Hypoxia,0.023214495
ACL,Hypoxia,0.023323424
ACL,Hypoxia,0.023496657
ACL,Hypoxia,0.023654698
ACL,Hypoxia,0.023771616
ACL,Hypoxia,0.023817337
ACL,Hypoxia,0.02378468
ACL,Hypoxia,0.023700467
ACL,Hypoxia,0.023599958
ACL,Hypoxia,0.023503851
ACL,Hypoxia,0.02341876
ACL,Hypoxia,0.023344891
ACL,Hypoxia,0.023280634
ACL,Hypoxia,0.023224227
ACL,Hypoxia,0.02317419
ACL,Hypoxia,0.023134891
ACL,Hypoxia,0.023332731
ACL,Hypoxia,0.023534627
ACL,Hypoxia,0.023732498
ACL,Hypoxia,0.023894072
ACL,Hypoxia,0.023957165
ACL,Hypoxia,0.023895735
ACL,Hypoxia,0.023767077
ACL,Hypoxia,0.023634807
ACL,Hypoxia,0.023521601
ACL,Hypoxia,0.02342804
ACL,Hypoxia,0.023349941
ACL,Hypoxia,0.023283472
ACL,Hypoxia,0.023225834
ACL,Hypoxia,0.023175059
ACL,Hypoxia,0.022465473
ACL,Hypoxia,0.022670507
ACL,Hypoxia,0.022883167
ACL,Hypoxia,0.023093177
ACL,Hypoxia,0.023303089
ACL,Hypoxia,0.023517303
ACL,Hypoxia,0.013604536
ACL,Hypoxia,0.023739959
ACL,Hypoxia,0.013737563
ACL,Hypoxia,0.023951691
ACL,Hypoxia,0.024047027
ACL,Hypoxia,0.023948095
ACL,Hypoxia,0.023775519
ACL,Hypoxia,0.023625708
ACL,Hypoxia,0.023509062
ACL,Hypoxia,0.023416359
ACL,Hypoxia,0.023339972
ACL,Hypoxia,0.023275131
ACL,Hypoxia,0.023218838
ACL,Hypoxia,0.023169119
ACL,Hypoxia,0.023124621
ACL,Hypoxia,0.023047712
ACL,Hypoxia,0.022072401
ACL,Hypoxia,0.02200312
ACL,Hypoxia,0.022078065
ACL,Hypoxia,0.022301134
ACL,Hypoxia,0.022567137
ACL,Hypoxia,0.022807352
ACL,Hypoxia,0.023024134
ACL,Hypoxia,0.02323114
ACL,Hypoxia,0.012898875
ACL,Hypoxia,0.023431008
ACL,Hypoxia,0.013004339
ACL,Hypoxia,0.023626606
ACL,Hypoxia,0.0132212
ACL,Hypoxia,0.023818646
ACL,Hypoxia,0.013499917
ACL,Hypoxia,0.023924548
ACL,Hypoxia,0.013798029
ACL,Hypoxia,0.023833515
ACL,Hypoxia,0.014089727
ACL,Hypoxia,0.02368465
ACL,Hypoxia,0.01436356
ACL,Hypoxia,0.023561967
ACL,Hypoxia,0.023464434
ACL,Hypoxia,0.023383936
ACL,Hypoxia,0.023315502
ACL,Hypoxia,0.023256069
ACL,Hypoxia,0.023203586
ACL,Hypoxia,0.023156621
ACL,Hypoxia,0.023114153
ACL,Hypoxia,0.023075437
ACL,Hypoxia,0.023039917
ACL,Hypoxia,0.021932329
ACL,Hypoxia,0.021740163
ACL,Hypoxia,0.021810273
ACL,Hypoxia,0.022142466
ACL,Hypoxia,0.022481639
ACL,Hypoxia,0.012726573
ACL,Hypoxia,0.022724418
ACL,Hypoxia,0.022925632
ACL,Hypoxia,0.023118866
ACL,Hypoxia,0.012060605
ACL,Hypoxia,0.023295312
ACL,Hypoxia,0.01226361
ACL,Hypoxia,0.023438371
ACL,Hypoxia,0.012624856
ACL,Hypoxia,0.023519862
ACL,Hypoxia,0.013044462
ACL,Hypoxia,0.023555029
ACL,Hypoxia,0.013455058
ACL,Hypoxia,0.023560693
ACL,Hypoxia,0.013827993
ACL,Hypoxia,0.023523014
ACL,Hypoxia,0.01415874
ACL,Hypoxia,0.023462599
ACL,Hypoxia,0.01445237
ACL,Hypoxia,0.023397799
ACL,Hypoxia,0.023336087
ACL,Hypoxia,0.023279506
ACL,Hypoxia,0.023228066
ACL,Hypoxia,0.023181205
ACL,Hypoxia,0.022295307
ACL,Hypoxia,0.022200025
ACL,Hypoxia,0.021942901
ACL,Hypoxia,0.021637291
ACL,Hypoxia,0.012874152
ACL,Hypoxia,0.021700343
ACL,Hypoxia,0.012768225
ACL,Hypoxia,0.022119232
ACL,Hypoxia,0.012514699
ACL,Hypoxia,0.022456967
ACL,Hypoxia,0.012023243
ACL,Hypoxia,0.02261673
ACL,Hypoxia,0.011408926
ACL,Hypoxia,0.022751691
ACL,Hypoxia,0.010958654
ACL,Hypoxia,0.022928254
ACL,Hypoxia,0.010936259
ACL,Hypoxia,0.023117158
ACL,Hypoxia,0.011339952
ACL,Hypoxia,0.023281753
ACL,Hypoxia,0.011956862
ACL,Hypoxia,0.023344915
ACL,Hypoxia,0.012588993
ACL,Hypoxia,0.023340964
ACL,Hypoxia,0.013143426
ACL,Hypoxia,0.023374596
ACL,Hypoxia,0.01360462
ACL,Hypoxia,0.023387386
ACL,Hypoxia,0.013989088
ACL,Hypoxia,0.023364275
ACL,Hypoxia,0.014317816
ACL,Hypoxia,0.02332467
ACL,Hypoxia,0.023280409
ACL,Hypoxia,0.023236204
ACL,Hypoxia,0.023193681
ACL,Hypoxia,0.022387642
ACL,Hypoxia,0.022398581
ACL,Hypoxia,0.012803855
ACL,Hypoxia,0.022257528
